Texto,Lema,POS,Tag,Dep,Shape,Alfabético,Stopword
que,que,SCONJ,SCONJ,mark,xxx,True,True
a,o,DET,DET,det,x,True,True
chuva,chuva,NOUN,NOUN,nsubj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
armas,arma,NOUN,NOUN,nmod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
lava,lavar,VERB,VERB,ccomp,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
pedras,pedra,NOUN,NOUN,conj,xxxx,True,False
incandescentes,incandescente,ADJ,ADJ,amod,xxxx,True,False
se,se,PRON,PRON,expl,xx,True,True
tornem,tornar,VERB,VERB,conj,xxxx,True,False
uma,um,DET,DET,det,xxx,True,True
chuva,chuva,NOUN,NOUN,obj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
flores,flor,NOUN,NOUN,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
10.9,10.9,NOUN,NOUN,appos,dd.d,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
